item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-01
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-01
Q54439832,WikiProject Zika Corpus,1,2025-01-01
Q8503229,WikiProject Religion,1,2025-01-01
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-02
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-02
Q54439832,WikiProject Zika Corpus,1,2025-01-02
Q8503229,WikiProject Religion,1,2025-01-02
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-03
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-03
Q54439832,WikiProject Zika Corpus,1,2025-01-03
Q8503229,WikiProject Religion,1,2025-01-03
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-04
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-04
Q54439832,WikiProject Zika Corpus,1,2025-01-04
Q8503229,WikiProject Religion,1,2025-01-04
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-05
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-05
Q54439832,WikiProject Zika Corpus,1,2025-01-05
Q8503229,WikiProject Religion,1,2025-01-05
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-06
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-06
Q54439832,WikiProject Zika Corpus,1,2025-01-06
Q8503229,WikiProject Religion,1,2025-01-06
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-07
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-07
Q54439832,WikiProject Zika Corpus,1,2025-01-07
Q8503229,WikiProject Religion,1,2025-01-07
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-08
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-08
Q54439832,WikiProject Zika Corpus,1,2025-01-08
Q8503229,WikiProject Religion,1,2025-01-08
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-09
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-09
Q54439832,WikiProject Zika Corpus,1,2025-01-09
Q8503229,WikiProject Religion,1,2025-01-09
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-10
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-10
Q54439832,WikiProject Zika Corpus,1,2025-01-10
Q8503229,WikiProject Religion,1,2025-01-10
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-11
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-11
Q54439832,WikiProject Zika Corpus,1,2025-01-11
Q8503229,WikiProject Religion,1,2025-01-11
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-12
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-12
Q54439832,WikiProject Zika Corpus,1,2025-01-12
Q8503229,WikiProject Religion,1,2025-01-12
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-13
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-13
Q54439832,WikiProject Zika Corpus,1,2025-01-13
Q8503229,WikiProject Religion,1,2025-01-13
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-14
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-14
Q54439832,WikiProject Zika Corpus,1,2025-01-14
Q8503229,WikiProject Religion,1,2025-01-14
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-15
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-15
Q54439832,WikiProject Zika Corpus,1,2025-01-15
Q8503229,WikiProject Religion,1,2025-01-15
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-16
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-16
Q54439832,WikiProject Zika Corpus,1,2025-01-16
Q8503229,WikiProject Religion,1,2025-01-16
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-17
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-17
Q54439832,WikiProject Zika Corpus,1,2025-01-17
Q8503229,WikiProject Religion,1,2025-01-17
Q6173448,Wikipedia:Vital articles/Level/4,4,2025-01-18
Q5460604,Wikipedia:List of articles all languages should have,2,2025-01-18
