item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,34,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,30,2024-07-13
Q54439832,WikiProject Zika Corpus,3,2024-07-13
Q110249806,WikiProject Craft,2,2024-07-13
Q10656655,WikiProject World War I,1,2024-07-13
Q10653810,WikiProject World War II,1,2024-07-13
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-13
Q10858450,WikiProject Psychology,1,2024-07-13
Q10857957,WikiProject Linguistics,1,2024-07-13
Q24909800,Art+Feminism,1,2024-07-13
Q14455339,WikiProject Belgium,1,2024-07-13
Q5830855,WikiProject Music,1,2024-07-13
Q6526225,WikiProject Computer Science,1,2024-07-13
Q6723002,WikiProject Biology,1,2024-07-13
Q6871603,WikiProject Germany,1,2024-07-13
Q7212331,WikiProject Economics,1,2024-07-13
Q8001410,WikiProject Sports,1,2024-07-13
Q8486941,WikiProject Law,1,2024-07-13
Q8487137,WikiProject Mathematics,1,2024-07-13
Q8487234,WikiProject Chemistry,1,2024-07-13
Q8503229,WikiProject Religion,1,2024-07-13
Q8503311,WikiProject Philosophy,1,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,34,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,30,2024-07-14
Q54439832,WikiProject Zika Corpus,3,2024-07-14
Q110249806,WikiProject Craft,2,2024-07-14
Q10656655,WikiProject World War I,1,2024-07-14
Q10653810,WikiProject World War II,1,2024-07-14
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-14
Q10858450,WikiProject Psychology,1,2024-07-14
Q10857957,WikiProject Linguistics,1,2024-07-14
Q24909800,Art+Feminism,1,2024-07-14
Q14455339,WikiProject Belgium,1,2024-07-14
Q5830855,WikiProject Music,1,2024-07-14
Q6526225,WikiProject Computer Science,1,2024-07-14
Q6723002,WikiProject Biology,1,2024-07-14
Q6871603,WikiProject Germany,1,2024-07-14
Q7212331,WikiProject Economics,1,2024-07-14
Q8001410,WikiProject Sports,1,2024-07-14
Q8486941,WikiProject Law,1,2024-07-14
Q8487137,WikiProject Mathematics,1,2024-07-14
Q8487234,WikiProject Chemistry,1,2024-07-14
Q8503229,WikiProject Religion,1,2024-07-14
Q8503311,WikiProject Philosophy,1,2024-07-14
Q6173448,Wikipedia:Vital articles/Level/4,34,2024-07-15
Q5460604,Wikipedia:List of articles all languages should have,30,2024-07-15
Q54439832,WikiProject Zika Corpus,3,2024-07-15
Q110249806,WikiProject Craft,2,2024-07-15
Q10656655,WikiProject World War I,1,2024-07-15
Q10653810,WikiProject World War II,1,2024-07-15
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-15
Q10858450,WikiProject Psychology,1,2024-07-15
Q10857957,WikiProject Linguistics,1,2024-07-15
Q24909800,Art+Feminism,1,2024-07-15
Q14455339,WikiProject Belgium,1,2024-07-15
Q5830855,WikiProject Music,1,2024-07-15
Q6526225,WikiProject Computer Science,1,2024-07-15
Q6723002,WikiProject Biology,1,2024-07-15
Q6871603,WikiProject Germany,1,2024-07-15
Q7212331,WikiProject Economics,1,2024-07-15
Q8001410,WikiProject Sports,1,2024-07-15
Q8486941,WikiProject Law,1,2024-07-15
Q8487137,WikiProject Mathematics,1,2024-07-15
Q8487234,WikiProject Chemistry,1,2024-07-15
Q8503229,WikiProject Religion,1,2024-07-15
Q8503311,WikiProject Philosophy,1,2024-07-15
Q6173448,Wikipedia:Vital articles/Level/4,34,2024-07-16
Q5460604,Wikipedia:List of articles all languages should have,30,2024-07-16
Q54439832,WikiProject Zika Corpus,3,2024-07-16
Q110249806,WikiProject Craft,2,2024-07-16
Q10656655,WikiProject World War I,1,2024-07-16
Q10653810,WikiProject World War II,1,2024-07-16
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-16
Q10858450,WikiProject Psychology,1,2024-07-16
Q10857957,WikiProject Linguistics,1,2024-07-16
Q24909800,Art+Feminism,1,2024-07-16
Q14455339,WikiProject Belgium,1,2024-07-16
Q5830855,WikiProject Music,1,2024-07-16
Q6526225,WikiProject Computer Science,1,2024-07-16
Q6723002,WikiProject Biology,1,2024-07-16
Q6871603,WikiProject Germany,1,2024-07-16
Q7212331,WikiProject Economics,1,2024-07-16
Q8001410,WikiProject Sports,1,2024-07-16
Q8486941,WikiProject Law,1,2024-07-16
Q8487137,WikiProject Mathematics,1,2024-07-16
Q8487234,WikiProject Chemistry,1,2024-07-16
Q8503229,WikiProject Religion,1,2024-07-16
Q8503311,WikiProject Philosophy,1,2024-07-16
Q6173448,Wikipedia:Vital articles/Level/4,34,2024-07-17
Q5460604,Wikipedia:List of articles all languages should have,30,2024-07-17
Q54439832,WikiProject Zika Corpus,3,2024-07-17
Q110249806,WikiProject Craft,2,2024-07-17
Q10656655,WikiProject World War I,1,2024-07-17
Q10653810,WikiProject World War II,1,2024-07-17
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-17
Q10858450,WikiProject Psychology,1,2024-07-17
Q10857957,WikiProject Linguistics,1,2024-07-17
Q24909800,Art+Feminism,1,2024-07-17
Q14455339,WikiProject Belgium,1,2024-07-17
Q5830855,WikiProject Music,1,2024-07-17
Q6526225,WikiProject Computer Science,1,2024-07-17
Q6723002,WikiProject Biology,1,2024-07-17
Q6871603,WikiProject Germany,1,2024-07-17
Q7212331,WikiProject Economics,1,2024-07-17
Q8001410,WikiProject Sports,1,2024-07-17
Q8486941,WikiProject Law,1,2024-07-17
Q8487137,WikiProject Mathematics,1,2024-07-17
Q8487234,WikiProject Chemistry,1,2024-07-17
Q8503229,WikiProject Religion,1,2024-07-17
Q8503311,WikiProject Philosophy,1,2024-07-17
Q6173448,Wikipedia:Vital articles/Level/4,34,2024-07-18
Q5460604,Wikipedia:List of articles all languages should have,30,2024-07-18
Q54439832,WikiProject Zika Corpus,3,2024-07-18
Q110249806,WikiProject Craft,2,2024-07-18
Q10656655,WikiProject World War I,1,2024-07-18
Q10653810,WikiProject World War II,1,2024-07-18
Q112898263,WikiProject Intangible Cultural Heritage,1,2024-07-18
Q10858450,WikiProject Psychology,1,2024-07-18
Q10857957,WikiProject Linguistics,1,2024-07-18
