item,itemLabel,count,date
Q6173448,Wikipedia:Vital articles/Level/4,75,2024-07-13
Q5460604,Wikipedia:List of articles all languages should have,51,2024-07-13
Q110249806,WikiProject Craft,3,2024-07-13
Q54439832,WikiProject Zika Corpus,2,2024-07-13
Q59956276,WikiProject Performing arts,2,2024-07-13
Q8487137,WikiProject Mathematics,2,2024-07-13
Q10857957,WikiProject Linguistics,1,2024-07-13
Q10823481,WikiProject Plants,1,2024-07-13
Q10858467,WikiProject Hinduism,1,2024-07-13
Q10858450,WikiProject Psychology,1,2024-07-13
Q13382529,WikiProject Human Rights,1,2024-07-13
Q11008004,WikiProject Buddhism,1,2024-07-13
Q15060227,WikiProject Internet,1,2024-07-13
Q14942918,WikiProject Theatre,1,2024-07-13
Q15305047,WikiProject Climate change,1,2024-07-13
Q15884720,WikiProject Engineering,1,2024-07-13
Q4587240,WikiProject Christianity,1,2024-07-13
Q13627814,WikiProject Visual arts,1,2024-07-13
Q120754096,Wikidata: WikiProject Systemic Racism Knowledge Graph,1,2024-07-13
Q125577596,WikiProject Sufism,1,2024-07-13
Q5496999,WikiProject Islam,1,2024-07-13
Q52677530,Q52677530,1,2024-07-13
Q24909800,Art+Feminism,1,2024-07-13
Q59078555,Q59078555,1,2024-07-13
Q60687720,gender gap on Dutch Wikipedia,1,2024-07-13
Q6526225,WikiProject Computer Science,1,2024-07-13
Q6723002,WikiProject Biology,1,2024-07-13
Q5830855,WikiProject Music,1,2024-07-13
Q7212331,WikiProject Economics,1,2024-07-13
Q8001410,WikiProject Sports,1,2024-07-13
Q8486648,WikiProject Education,1,2024-07-13
Q8486941,WikiProject Law,1,2024-07-13
Q8487234,WikiProject Chemistry,1,2024-07-13
Q8503229,WikiProject Religion,1,2024-07-13
Q8503311,WikiProject Philosophy,1,2024-07-13
Q9497549,WikiProject Technology,1,2024-07-13
Q6173448,Wikipedia:Vital articles/Level/4,75,2024-07-14
Q5460604,Wikipedia:List of articles all languages should have,51,2024-07-14
Q110249806,WikiProject Craft,3,2024-07-14
Q54439832,WikiProject Zika Corpus,2,2024-07-14
Q59956276,WikiProject Performing arts,2,2024-07-14
Q8487137,WikiProject Mathematics,2,2024-07-14
Q10857957,WikiProject Linguistics,1,2024-07-14
Q10823481,WikiProject Plants,1,2024-07-14
Q10858467,WikiProject Hinduism,1,2024-07-14
